INFO  - 2016-02-25 16:19:57.267; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.270; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.291; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.296; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.300; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.303; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.322; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-02-25 16:19:57.327; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-02-25 16:19:57.332; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-02-25 16:19:57.349; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-02-25 16:19:57.352; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-02-25 16:19:57.362; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\solr-4.9.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\solr-4.9.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-02-25 16:19:57.370; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-02-25 16:19:57.379; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@263a542a[collection1] main
INFO  - 2016-02-25 16:19:57.393; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2016-02-25 16:19:57.396; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=C:\solr-4.9.1\example\solr\collection1\conf\}
INFO  - 2016-02-25 16:19:57.402; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
